time,total_slot_ms
578,14883711
579,1328573
580,167273
581,2887118
582,12299641
583,113651
584,323296
585,4651680
586,0
587,0
588,18946726
589,12556988
590,20806556
591,1648844
592,0
593,182167
594,12281306
595,288497
596,192292
597,3929856
598,0
599,3874820
600,22162572
601,24454208
602,487271
603,15923717
604,4314648
605,0
606,12826275
607,117972
608,42720
609,3259949
610,15365818
611,0
612,21348970
613,9447473
614,18646619
615,834390
616,1235818
617,1525066
618,7947234
619,1458271
620,0
621,3928206
622,0
623,110315
624,34380636
625,14495087
626,12918866
627,17922178
628,274038
629,12230287
630,591122
631,7167211
632,1289352
633,3870599
634,747658
635,256521
636,98331374
637,12972090
638,746271
639,16177198
640,1621307
641,247504
642,4274777
643,6419945
644,7648434
645,4749995
646,3572616
647,2326256
648,679761
649,49878433
650,15089639
651,334483
652,18498138
653,360423
654,10639443
655,3092820
656,3530054
657,2094961
658,1554453
659,1404091
660,17476160
661,6992058
662,3168299
663,4122058
664,18039386
665,4682854
666,9141679
667,6324590
668,2409787
669,71313324
670,30603747
671,4402697
672,2310006
673,69613169
674,2288110
675,127970653
676,2724820
677,47437387
678,8173052
679,4632185
680,13901365
681,4771325
682,4659661
683,4243734
684,27532816
685,24477357
686,12018587
687,21133538
688,8240178
689,5032379
690,4907251
691,8188184
692,22714975
693,5806446
694,10466955
695,6048290
696,8419287
697,49901627
698,26630118
699,6952494
700,2524769
701,3625851
702,5137258
703,14144818
704,4887193
705,5730941
706,2066719
707,312716
708,3827851
709,34141207
710,22801486
711,4560401
712,8723251
713,6674251
714,5185261
715,1163741
716,255242
717,0
718,1941008
719,4295608
720,45882359
721,8953843
722,11644024
723,18971573
724,33913927
725,92894338
726,54678328
727,27504804
728,21783326
729,20033725
730,4524189
731,82222862
732,388469739
733,209188191
734,7449877
735,29817248
736,31114204
737,334280
738,5823504
739,1813694
740,1681352
741,3780422
742,1934
743,89778
744,40259864
745,18649965
746,6012
747,16681088
748,3428421
749,586190
750,6080030
751,6403
752,4666
753,2446396
754,9340
755,9244
756,56841797
757,25518256
758,6723781
759,1969610
760,0
761,1594
762,14347585
763,12610024
764,5142518
765,6335962
766,200596
767,0
768,49600614
769,59852270
770,13965167
771,5394734
772,9190797
773,1842312
774,19261827
775,190544
776,0
777,6448436
778,0
779,0
780,61680133
781,36246943
782,16667126
783,2277458
784,129372
785,0
786,16447836
787,431794
788,0
789,6133156
790,0
791,4413445
792,73619801
793,46805499
794,243135
795,7357394
796,8769756
797,0
798,23553054
799,3784746
800,2382474
801,7680092
802,434017
803,376916
804,66108818
805,46381060
806,14949596
807,2413604
808,0
